sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
JUnit Request,400,0,0,1,0.099498743710662,0.0,14.814814814814815,0.0,0.0
RAZEM,400,0,0,1,0.099498743710662,0.0,14.814814814814815,0.0,0.0
