sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
JUnit Request,150,0,0,1,0.17950549357115014,0.0,6.918500069185001,0.0,0.0
RAZEM,150,0,0,1,0.17950549357115014,0.0,6.918500069185001,0.0,0.0
